Monitor,ClientIterations,SchedulerIterations,TotalChange
ActiveObject,50,50,32568892
ActiveObject,50,50,32740201
ActiveObject,50,50,33285253
ActiveObject,50,50,32020282
ActiveObject,50,50,30978873
ActiveObject,250,50,30190760
ActiveObject,250,50,30955600
ActiveObject,250,50,30537315
ActiveObject,250,50,31937060
ActiveObject,250,50,31450280
ActiveObject,500,50,32274880
ActiveObject,500,50,32397600
ActiveObject,500,50,30852790
ActiveObject,500,50,31415220
ActiveObject,500,50,32466940
ActiveObject,1000,50,32196780
ActiveObject,1000,50,32918240
ActiveObject,1000,50,31861340
ActiveObject,1000,50,32159000
ActiveObject,1000,50,32444760
ActiveObject,2000,50,32895600
ActiveObject,2000,50,31638920
ActiveObject,2000,50,32244000
ActiveObject,2000,50,32141200
ActiveObject,2000,50,32882920
ActiveObject,50,250,31448698
ActiveObject,50,250,31745954
ActiveObject,50,250,31793317
ActiveObject,50,250,31788692
ActiveObject,50,250,31730249
ActiveObject,250,250,32608665
ActiveObject,250,250,32467125
ActiveObject,250,250,32227015
ActiveObject,250,250,32285465
ActiveObject,250,250,32470070
ActiveObject,500,250,32784080
ActiveObject,500,250,32330990
ActiveObject,500,250,32220350
ActiveObject,500,250,32269110
ActiveObject,500,250,32700240
ActiveObject,1000,250,32255520
ActiveObject,1000,250,32354480
ActiveObject,1000,250,32174120
ActiveObject,1000,250,32271520
ActiveObject,1000,250,32162960
ActiveObject,2000,250,32603040
ActiveObject,2000,250,32259680
ActiveObject,2000,250,33026000
ActiveObject,2000,250,32328560
ActiveObject,2000,250,32327760
ActiveObject,50,500,32206174
ActiveObject,50,500,32411522
ActiveObject,50,500,32120866
ActiveObject,50,500,32334838
ActiveObject,50,500,32635037
ActiveObject,250,500,32426325
ActiveObject,250,500,31950260
ActiveObject,250,500,32268165
ActiveObject,250,500,32290885
ActiveObject,250,500,32815255
ActiveObject,500,500,32315430
ActiveObject,500,500,32913690
ActiveObject,500,500,31602930
ActiveObject,500,500,32525830
ActiveObject,500,500,32528650
ActiveObject,1000,500,32227640
ActiveObject,1000,500,32504820
ActiveObject,1000,500,32479640
ActiveObject,1000,500,31550580
ActiveObject,1000,500,32457840
ActiveObject,2000,500,32916040
ActiveObject,2000,500,32506560
ActiveObject,2000,500,31835040
ActiveObject,2000,500,32249160
ActiveObject,2000,500,32204960
ActiveObject,50,1000,32238744
ActiveObject,50,1000,32106650
ActiveObject,50,1000,32278911
ActiveObject,50,1000,32475515
ActiveObject,50,1000,32542369
ActiveObject,250,1000,31786945
ActiveObject,250,1000,32134745
ActiveObject,250,1000,32461310
ActiveObject,250,1000,32812690
ActiveObject,250,1000,31730515
ActiveObject,500,1000,33042320
ActiveObject,500,1000,32637240
ActiveObject,500,1000,32978440
ActiveObject,500,1000,31771740
ActiveObject,500,1000,32777580
ActiveObject,1000,1000,32545800
ActiveObject,1000,1000,33164200
ActiveObject,1000,1000,32572340
ActiveObject,1000,1000,32574560
ActiveObject,1000,1000,32491820
ActiveObject,2000,1000,32738160
ActiveObject,2000,1000,32425040
ActiveObject,2000,1000,32481680
ActiveObject,2000,1000,32261560
ActiveObject,2000,1000,32509440
ActiveObject,50,2000,32312132
ActiveObject,50,2000,32424967
ActiveObject,50,2000,32503869
ActiveObject,50,2000,32461127
ActiveObject,50,2000,31637812
ActiveObject,250,2000,32833850
ActiveObject,250,2000,32703790
ActiveObject,250,2000,32752545
ActiveObject,250,2000,32293655
ActiveObject,250,2000,32424250
ActiveObject,500,2000,32476440
ActiveObject,500,2000,32810560
ActiveObject,500,2000,32047660
ActiveObject,500,2000,32330930
ActiveObject,500,2000,32548510
ActiveObject,1000,2000,32319960
ActiveObject,1000,2000,32131000
ActiveObject,1000,2000,33001820
ActiveObject,1000,2000,32528460
ActiveObject,1000,2000,32544760
ActiveObject,2000,2000,32227640
ActiveObject,2000,2000,32817640
ActiveObject,2000,2000,32520960
ActiveObject,2000,2000,32563320
ActiveObject,2000,2000,32260560
ThreeLock,50,50,6619451
ThreeLock,50,50,4545489
ThreeLock,50,50,6369224
ThreeLock,50,50,7990700
ThreeLock,50,50,7975166
ThreeLock,250,50,4557520
ThreeLock,250,50,4082325
ThreeLock,250,50,4163523
ThreeLock,250,50,3686506
ThreeLock,250,50,3920289
ThreeLock,500,50,6646551
ThreeLock,500,50,6090101
ThreeLock,500,50,6237941
ThreeLock,500,50,6138966
ThreeLock,500,50,5839887
ThreeLock,1000,50,7760326
ThreeLock,1000,50,6145722
ThreeLock,1000,50,6455825
ThreeLock,1000,50,7646807
ThreeLock,1000,50,7226540
ThreeLock,2000,50,12477273
ThreeLock,2000,50,11878747
ThreeLock,2000,50,12142615
ThreeLock,2000,50,11951090
ThreeLock,2000,50,12022349
ThreeLock,50,250,2618456
ThreeLock,50,250,2993550
ThreeLock,50,250,3443111
ThreeLock,50,250,3120370
ThreeLock,50,250,3190738
ThreeLock,250,250,2855267
ThreeLock,250,250,2792028
ThreeLock,250,250,3186532
ThreeLock,250,250,2789145
ThreeLock,250,250,3092278
ThreeLock,500,250,3493552
ThreeLock,500,250,3031308
ThreeLock,500,250,3382589
ThreeLock,500,250,3320703
ThreeLock,500,250,2543151
ThreeLock,1000,250,5108626
ThreeLock,1000,250,5034966
ThreeLock,1000,250,5017614
ThreeLock,1000,250,4984573
ThreeLock,1000,250,5448311
ThreeLock,2000,250,7714781
ThreeLock,2000,250,7815824
ThreeLock,2000,250,7964312
ThreeLock,2000,250,8048090
ThreeLock,2000,250,7832818
ThreeLock,50,500,2058827
ThreeLock,50,500,2095758
ThreeLock,50,500,2208085
ThreeLock,50,500,1845799
ThreeLock,50,500,1494831
ThreeLock,250,500,2455696
ThreeLock,250,500,2470543
ThreeLock,250,500,2623785
ThreeLock,250,500,2162468
ThreeLock,250,500,2312720
ThreeLock,500,500,2643139
ThreeLock,500,500,2669465
ThreeLock,500,500,2636073
ThreeLock,500,500,2888353
ThreeLock,500,500,2452120
ThreeLock,1000,500,4218981
ThreeLock,1000,500,4166393
ThreeLock,1000,500,4434591
ThreeLock,1000,500,3892862
ThreeLock,1000,500,4204764
ThreeLock,2000,500,6202672
ThreeLock,2000,500,6167751
ThreeLock,2000,500,6223829
ThreeLock,2000,500,6133790
ThreeLock,2000,500,6439495
ThreeLock,50,1000,1388389
ThreeLock,50,1000,1270725
ThreeLock,50,1000,1559605
ThreeLock,50,1000,1119116
ThreeLock,50,1000,1241265
ThreeLock,250,1000,1311712
ThreeLock,250,1000,1611782
ThreeLock,250,1000,1570319
ThreeLock,250,1000,1316229
ThreeLock,250,1000,1134735
ThreeLock,500,1000,2093560
ThreeLock,500,1000,1848080
ThreeLock,500,1000,1803207
ThreeLock,500,1000,1798795
ThreeLock,500,1000,1904754
ThreeLock,1000,1000,2287151
ThreeLock,1000,1000,2800047
ThreeLock,1000,1000,2478964
ThreeLock,1000,1000,2332174
ThreeLock,1000,1000,2285885
ThreeLock,2000,1000,4032765
ThreeLock,2000,1000,3962888
ThreeLock,2000,1000,4119597
ThreeLock,2000,1000,4089794
ThreeLock,2000,1000,4302933
ThreeLock,50,2000,799912
ThreeLock,50,2000,764664
ThreeLock,50,2000,790198
ThreeLock,50,2000,581235
ThreeLock,50,2000,818193
ThreeLock,250,2000,939368
ThreeLock,250,2000,898220
ThreeLock,250,2000,937735
ThreeLock,250,2000,1118645
ThreeLock,250,2000,979797
ThreeLock,500,2000,1239878
ThreeLock,500,2000,1223535
ThreeLock,500,2000,1094123
ThreeLock,500,2000,1132591
ThreeLock,500,2000,1114526
ThreeLock,1000,2000,1743805
ThreeLock,1000,2000,1515601
ThreeLock,1000,2000,1691141
ThreeLock,1000,2000,1579236
ThreeLock,1000,2000,1686880
ThreeLock,2000,2000,2618613
ThreeLock,2000,2000,2542042
ThreeLock,2000,2000,2356119
ThreeLock,2000,2000,2557555
ThreeLock,2000,2000,2511886
